Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
OF,Justyn-Henry Malloy (39001140),Justyn-Henry Malloy,39001140,OF,2500,DET@KC 05/31/2025 04:10PM ET,DET,3.89
OF,Mark Canha (39001145),Mark Canha,39001145,OF,2500,DET@KC 05/31/2025 04:10PM ET,KC,3.41
1B,Casey Schmitt (39001146),Casey Schmitt,39001146,1B,2500,SF@MIA 05/31/2025 04:10PM ET,SF,3.46
OF,Griffin Conine (39001254),Griffin Conine,39001254,OF,2500,SF@MIA 05/31/2025 04:10PM ET,MIA,6.15
OF,Stuart Fairchild (39001148),Stuart Fairchild,39001148,OF,2400,BOS@ATL 05/31/2025 04:10PM ET,ATL,2.81
OF,Heston Kjerstad (39001147),Heston Kjerstad,39001147,OF,2400,CWS@BAL 05/31/2025 04:05PM ET,BAL,4.19
1B/3B,Brandon Drury (39001259),Brandon Drury,39001259,1B/3B,2400,CWS@BAL 05/31/2025 04:05PM ET,CWS,0
1B,Luken Baker (39001256),Luken Baker,39001256,1B,2400,STL@TEX 05/31/2025 04:05PM ET,STL,2.84
OF,Dustin Harris (39001257),Dustin Harris,39001257,OF,2400,STL@TEX 05/31/2025 04:05PM ET,TEX,3.31
C,Travis d'Arnaud (39001153),Travis d'Arnaud,39001153,C,2400,LAA@CLE 05/31/2025 04:10PM ET,LAA,3.72
OF,Tyrone Taylor (39001152),Tyrone Taylor,39001152,OF,2400,COL@NYM 05/31/2025 04:10PM ET,NYM,4.8
OF,Nick Martini (39001158),Nick Martini,39001158,OF,2400,COL@NYM 05/31/2025 04:10PM ET,COL,2.98
OF,Weston Wilson (39001154),Weston Wilson,39001154,OF,2400,MIL@PHI 05/31/2025 04:05PM ET,PHI,3.14
1B,Tyler Black (39001258),Tyler Black,39001258,1B,2400,MIL@PHI 05/31/2025 04:05PM ET,MIL,0
2B,Brendan Rodgers (39001149),Brendan Rodgers,39001149,2B,2400,TB@HOU 05/31/2025 04:10PM ET,HOU,3.77
1B/2B,Curtis Mead (39001155),Curtis Mead,39001155,1B/2B,2400,TB@HOU 05/31/2025 04:10PM ET,TB,3.88
C,Logan Driscoll (39001261),Logan Driscoll,39001261,C,2400,TB@HOU 05/31/2025 04:10PM ET,TB,0
2B/OF,Michael Massey (39001150),Michael Massey,39001150,2B/OF,2400,DET@KC 05/31/2025 04:10PM ET,KC,3.96
C,Nick Fortes (39001157),Nick Fortes,39001157,C,2400,SF@MIA 05/31/2025 04:10PM ET,MIA,2.96
3B/SS,Jack Winkler (39009233),Jack Winkler,39009233,3B/SS,2400,SF@MIA 05/31/2025 04:10PM ET,MIA,0
SS,Nick Allen (39001161),Nick Allen,39001161,SS,2300,BOS@ATL 05/31/2025 04:10PM ET,ATL,4.5
OF,Dylan Carlson (39001159),Dylan Carlson,39001159,OF,2300,CWS@BAL 05/31/2025 04:05PM ET,BAL,3.9
